Run	Status	Replicate	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Consent	Genotype	Cultivar	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study	Tissue
SRR10485044	MILD TREATMENT	2	sibling	RNA-Seq	298	11288802362	PRJNA590281	SAMN13324036	Plant	4411204211	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-5	run.zq,fastq,sra	gs,ncbi,s3	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174728	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T11	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:17:00Z	1	T11	SRP230374	leaf
SRR10485045	ONSET	2	sibling	RNA-Seq	298	10229725144	PRJNA590281	SAMN13324081	Plant	3850352211	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-2	run.zq,fastq,sra	ncbi,s3,gs	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174727	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T02	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:14:00Z	1	T02	SRP230374	leaf
SRR10485046	ONSET	1	sibling	RNA-Seq	298	11950090440	PRJNA590281	SAMN13324055	Plant	4473109495	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-1	fastq,sra,run.zq	gs,s3,ncbi	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174726	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T01	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:17:00Z	1	T01	SRP230374	leaf
SRR10485047	SERIOUS CONTROL	1	sibling	RNA-Seq	299	10712504840	PRJNA590281	SAMN13324032	Plant	4201019180	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-22	fastq,sra,run.zq	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174725	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T67	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:10:00Z	1	T67	SRP230374	leaf
SRR10485048	SERIOUS CONTROL	3	sibling	RNA-Seq	299	11025161726	PRJNA590281	SAMN13324075	Plant	4295970062	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-24	run.zq,fastq,sra	s3,ncbi,gs	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174724	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T66	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:17:00Z	1	T66	SRP230374	leaf
SRR10485049	SERIOUS CONTROL	2	sibling	RNA-Seq	298	11459339454	PRJNA590281	SAMN13324062	Plant	4441769513	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-23	sra,run.zq,fastq	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174723	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T65	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:18:00Z	1	T65	SRP230374	leaf
SRR10485050	SERIOUS CONTROL	1	sibling	RNA-Seq	298	8729492284	PRJNA590281	SAMN13324088	Plant	3426570154	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-22	fastq,run.zq,sra	s3,ncbi,gs	ncbi.public,gs.US,s3.us-east-1	maturation	SRX7174722	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T64	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:12:00Z	1	T64	SRP230374	leaf
SRR10485051	SERIOUS TREATMENT	3	sibling	RNA-Seq	298	9270407808	PRJNA590281	SAMN13324061	Plant	3621503343	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-21	sra,fastq,run.zq	gs,ncbi,s3	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174721	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T63	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:12:00Z	1	T63	SRP230374	leaf
SRR10485052	SERIOUS TREATMENT	2	sibling	RNA-Seq	298	11872140664	PRJNA590281	SAMN13324040	Plant	4614256084	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-20	sra,run.zq,fastq	s3,gs,ncbi	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174720	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T62	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:17:00Z	1	T62	SRP230374	leaf
SRR10485053	SERIOUS TREATMENT	1	sibling	RNA-Seq	298	10452278242	PRJNA590281	SAMN13324107	Plant	4079161625	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-19	run.zq,sra,fastq	gs,s3,ncbi	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174719	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T61	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:15:00Z	1	T61	SRP230374	leaf
SRR10485054	ONSET	1	sibling	RNA-Seq	298	12121077128	PRJNA590281	SAMN13324056	Plant	4591469466	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-1	fastq,sra,run.zq	s3,ncbi,gs	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174718	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T07	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:19:00Z	1	T07	SRP230374	leaf
SRR10485055	SERIOUS TREATMENT	3	sibling	RNA-Seq	298	10135914676	PRJNA590281	SAMN13324037	Plant	3967999224	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-21	fastq,sra,run.zq	s3,gs,ncbi	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174717	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T60	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:14:00Z	1	T60	SRP230374	leaf
SRR10485056	SERIOUS TREATMENT	2	sibling	RNA-Seq	299	10392477422	PRJNA590281	SAMN13324065	Plant	4175449704	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-20	sra,fastq,run.zq	ncbi,s3,gs	ncbi.public,gs.US,s3.us-east-1	maturation	SRX7174716	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T59	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:16:00Z	1	T59	SRP230374	leaf
SRR10485057	SERIOUS TREATMENT	1	sibling	RNA-Seq	298	9571658188	PRJNA590281	SAMN13324084	Plant	3712992518	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-19	run.zq,fastq,sra	ncbi,gs,s3	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174715	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T58	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:13:00Z	1	T58	SRP230374	leaf
SRR10485058	SERIOUS TREATMENT	3	sibling	RNA-Seq	298	11237265442	PRJNA590281	SAMN13324068	Plant	4533870962	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-21	sra,run.zq,fastq	ncbi,gs,s3	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174714	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T57	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:16:00Z	1	T57	SRP230374	leaf
SRR10485059	SERIOUS TREATMENT	2	sibling	RNA-Seq	298	9186956500	PRJNA590281	SAMN13324103	Plant	3566306629	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-20	sra,fastq,run.zq	gs,s3,ncbi	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174713	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T56	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:12:00Z	1	T56	SRP230374	leaf
SRR10485060	SERIOUS TREATMENT	1	sibling	RNA-Seq	298	10937050848	PRJNA590281	SAMN13324035	Plant	4309303496	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-19	fastq,run.zq,sra	ncbi,s3,gs	ncbi.public,gs.US,s3.us-east-1	maturation	SRX7174712	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T55	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:11:00Z	1	T55	SRP230374	leaf
SRR10485061	MEDIUM RECOVERY	3	sibling	RNA-Seq	298	10480987680	PRJNA590281	SAMN13324071	Plant	4117263920	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-18	fastq,sra,run.zq	gs,s3,ncbi	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174711	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T54	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:16:00Z	1	T54	SRP230374	leaf
SRR10485062	MEDIUM RECOVERY	2	sibling	RNA-Seq	298	9470870956	PRJNA590281	SAMN13324099	Plant	3687777395	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-17	run.zq,sra,fastq	ncbi,gs,s3	ncbi.public,gs.US,s3.us-east-1	maturation	SRX7174710	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T53	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:25:00Z	1	T53	SRP230374	leaf
SRR10485063	MEDIUM RECOVERY	1	sibling	RNA-Seq	298	10284036328	PRJNA590281	SAMN13324059	Plant	4030240062	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-16	sra,fastq,run.zq	s3,gs,ncbi	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174709	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T52	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:13:00Z	1	T52	SRP230374	leaf
SRR10485064	MEDIUM RECOVERY	3	sibling	RNA-Seq	298	9794006178	PRJNA590281	SAMN13324041	Plant	3794890810	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-18	run.zq,fastq,sra	s3,gs,ncbi	s3.us-east-1,gs.US,ncbi.public	maturation	SRX7174708	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T51	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:13:00Z	1	T51	SRP230374	leaf
SRR10485065	ONSET	3	sibling	RNA-Seq	298	13944975898	PRJNA590281	SAMN13324085	Plant	5222897064	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-3	run.zq,sra,fastq	s3,gs,ncbi	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174707	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T06	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:17:00Z	1	T06	SRP230374	leaf
SRR10485066	MEDIUM RECOVERY	2	sibling	RNA-Seq	298	9559215418	PRJNA590281	SAMN13324089	Plant	3699792209	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-17	run.zq,sra,fastq	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174706	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T50	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:12:00Z	1	T50	SRP230374	leaf
SRR10485067	MEDIUM RECOVERY	1	sibling	RNA-Seq	298	9562340784	PRJNA590281	SAMN13324038	Plant	3720116141	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-16	fastq,run.zq,sra	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174705	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T49	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:14:00Z	1	T49	SRP230374	leaf
SRR10485068	MEDIUM RECOVERY	3	sibling	RNA-Seq	298	9609898164	PRJNA590281	SAMN13324101	Plant	3740151175	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-18	fastq,run.zq,sra	ncbi,gs,s3	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174704	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T48	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:13:00Z	1	T48	SRP230374	leaf
SRR10485069	MEDIUM RECOVERY	2	sibling	RNA-Seq	298	12465833338	PRJNA590281	SAMN13324050	Plant	4800051051	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-17	sra,run.zq,fastq	s3,ncbi,gs	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174703	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T47	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:19:00Z	1	T47	SRP230374	leaf
SRR10485070	MEDIUM RECOVERY	1	sibling	RNA-Seq	298	10689481898	PRJNA590281	SAMN13324083	Plant	4172386272	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-16	sra,fastq,run.zq	s3,gs,ncbi	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174702	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T46	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:12:00Z	1	T46	SRP230374	leaf
SRR10485071	MEDIUM CONTROL	3	sibling	RNA-Seq	298	13913547210	PRJNA590281	SAMN13324031	Plant	5471991624	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-15	run.zq,fastq,sra	s3,ncbi,gs	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174701	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T45	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:38:00Z	1	T45	SRP230374	leaf
SRR10485072	MEDIUM CONTROL	2	sibling	RNA-Seq	298	10192079624	PRJNA590281	SAMN13324078	Plant	3988544057	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-14	sra,fastq,run.zq	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174700	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T44	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:10:00Z	1	T44	SRP230374	leaf
SRR10485073	MEDIUM CONTROL	1	sibling	RNA-Seq	298	8996929412	PRJNA590281	SAMN13324042	Plant	3528822394	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	F172	F172-13	run.zq,fastq,sra	s3,ncbi,gs	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174699	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T43	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:11:00Z	1	T43	SRP230374	leaf
SRR10485074	MEDIUM CONTROL	3	sibling	RNA-Seq	298	9666521930	PRJNA590281	SAMN13324033	Plant	3773718652	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-15	sra,run.zq,fastq	ncbi,gs,s3	gs.US,s3.us-east-1,ncbi.public	maturation	SRX7174698	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T42	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:14:00Z	1	T42	SRP230374	leaf
SRR10485075	MEDIUM CONTROL	2	sibling	RNA-Seq	298	8479068276	PRJNA590281	SAMN13324048	Plant	3321164287	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-14	sra,run.zq,fastq	s3,ncbi,gs	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174697	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T41	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:12:00Z	1	T41	SRP230374	leaf
SRR10485076	ONSET	2	sibling	RNA-Seq	298	13076074462	PRJNA590281	SAMN13324091	Plant	4942784895	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-2	run.zq,fastq,sra	ncbi,s3,gs	s3.us-east-1,ncbi.public,gs.US	maturation	SRX7174696	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T05	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:20:00Z	1	T05	SRP230374	leaf
SRR10485077	MEDIUM CONTROL	1	sibling	RNA-Seq	298	8841091360	PRJNA590281	SAMN13324082	Plant	3412057365	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GZ18	GZ18-13	run.zq,fastq,sra	ncbi,s3,gs	ncbi.public,s3.us-east-1,gs.US	maturation	SRX7174695	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T40	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:13:00Z	1	T40	SRP230374	leaf
SRR10485078	MEDIUM CONTROL	3	sibling	RNA-Seq	298	11069874096	PRJNA590281	SAMN13324052	Plant	4287124364	SUGARCANE RESEARCH INSTITUTE, GUANGXI ACADEMY OF AGRICULTURAL SCIENCES	public	GT31	GT31-15	fastq,sra,run.zq	s3,gs,ncbi	gs.US,ncbi.public,s3.us-east-1	maturation	SRX7174694	China	Asia	China	Illumina HiSeq 2500	Sugarcane_C387-T39	PAIRED	RT-PCR	TRANSCRIPTOMIC	Saccharum spontaneum	ILLUMINA	2020-12-17T00:00:00Z	2019-11-18T21:16:00Z	1	T39	SRP230374	leaf
